product_id,product_name,category_id,warehouse_id,seller_id,product_weight,product_price,product_size
71,Minimalist Bamboo Denim-Vest Crimson Legacy Collection,56,962,56102,6.6,15.0,L
72,Vintage Cotton Denim-Vest Pink Vitality Series,56,780,68466,3.5,47.5,XL
73,Traditional Bamboo Denim-Sleeveless-Skirt Crimson Zenith Series,55,572,16981,1.9,49.1,XS
74,Futuristic Recycled Plastic Denim-Tote-Bag Green Harmony Series,54,971,49356,8.7,22.5,XS
75,Comfortable Aluminum Denim-Sleeveless-Skirt Yellow Evolve Series,55,192,19236,7.6,43.7,L
76,Sleek Recycled Plastic Denim-Jumpsuit Pink Odyssey Series,57,897,52286,5.9,30.3,M
77,Floral Wool Denim-Tote-Bag Gray Fusion Line,54,220,21391,9.5,29.2,M
78,Floral Faux Leather Denim-Jumpsuit Lavender Infinite Horizon Series,57,444,48854,7.8,49.6,S
79,Stylish Wood Denim-Jumpsuit Teal Infinite Horizon Series,57,212,88898,2.5,14.7,XS
80,Artistic Stainless Steel Denim-Jumpsuit Ivory Horizon Collection,57,117,96820,7.8,49.6,S
81,Sporty Cotton Denim-Vest Red Fusion Line,56,746,14355,6.5,28.7,XS
82, Suede Denim-Sleeveless-Skirt Aqua Solstice Series,55,628,66408,6.1,28.7,XS
83,Geometric Linen Denim-Vest Charcoal Zenith Series,56,947,70824,6.3,17.7,M
84,Sleek Stainless Steel Denim-Sleeveless-Skirt Lavender Solstice Series,55,820,15109,3.8,42.2,M
85,Sleek Aluminum Denim-Vest Blue Fusion Line,56,826,23525,5.0,36.3,L
86,Sporty Denim Denim-Vest Yellow Phoenix Series,56,358,65920,4.8,13.3,XL
87,Modern Ceramic Denim-Sleeveless-Skirt Maroon Vitality Series,55,678,54000,9.7,25.8,M
88,Minimalist Suede Denim-Jumpsuit  Legacy Collection,57,820,72493,4.4,33.9,M
89,Futuristic Synthetic Denim-Jumpsuit Lavender Enigma Collection,57,953,62724,6.4,32.1,L
90,Minimalist Wool Denim-Vest Yellow Horizon Collection,56,720,12257,3.2,38.0,XL
91,Artistic Denim Denim-Jumpsuit Aqua Nexus Collection,57,384,80172,6.1,29.2,S
92,Futuristic Rubber Denim-Vest Navy Zenith Series,56,507,23525,6.8,24.1,M
93,Minimalist Stainless Steel Denim-Jumpsuit Charcoal Harmony Series,57,909,96820,6.9,14.7,S
94,Artistic Stainless Steel Denim-Vest Charcoal Fusion Line,56,299,64508,4.7,17.3,L
95,Vintage Glass Denim-Jumpsuit Lavender Phoenix Series,57,126,66866,6.5,22.5,S
96,Comfortable Polyester Denim-Jumpsuit Gray Infinite Horizon Series,57,565,29301,7.6,41.8,S
97,Luxury Denim Denim-Vest Purple Harmony Series,56,194,62724,4.2,28.0,M
98,Geometric Rubber Denim-Jumpsuit Charcoal Odyssey Series,57,703,70824,1.7,35.5,S
99,Comfortable Leather Denim-Jumpsuit Orange Fusion Line,57,780,49086,3.8,46.0,XS
100,Geometric Leather Denim-Sleeveless-Skirt Teal Infinite Horizon Series,55,744,44009,5.8,47.2,M
