product_id,product_name,category_id,warehouse_id,seller_id,product_weight,product_price,product_size
1,Abstract Denim Shorts Olive Solstice Series,26,399,45021,1.8,22.7,XL
2,Vintage Wood One-piece Charcoal Solstice Series,36,133,42576,5.5,33.0,XL
3,Floral Cotton Casual dress Olive Zenith Series,19,404,15572,9.0,31.6,M
4,Traditional Linen Tankini Green Enigma Collection,37,296,27665,2.3,28.6,L
5,Elegant Synthetic Sweater Olive Elysium Line,4,167,18119,4.3,13.0,S
6,Geometric Recycled Plastic Casual dress Ivory Horizon Collection,19,111,45021,5.4,24.7,L
7,Futuristic Synthetic One-piece White Nexus Collection,36,107,42741,1.5,44.3,M
8,Casual Velvet Shapewear  Elysium Line,42,369,21391,8.8,29.6,M
9,Bohemian Cotton Striped dress Black Nexus Collection,17,249,43119,9.7,38.2,XL
10,Floral Linen Plain dress Pink Odyssey Series,15,469,45914,9.6,40.8,XL
11,Retro Aluminum Hat Maroon Enigma Collection,45,310,17379,8.3,14.3,M
12,Minimalist Stainless Steel Pajama set  Elysium Line,31,163,16353,9.0,21.9,L
13, Denim Gloves Olive Vitality Series,48,257,43356,4.4,24.5,M
14,Artistic Silk Swim dress Green Zenith Series,38,157,32487,4.4,33.0,M
15,Modern Cotton Lingerie Purple Essence Series,40,214,23238,8.4,17.9,XS
16, Velvet Robe Aqua Evolve Series,33,126,42741,9.3,29.7,L
17,Traditional Denim Romper Aqua Horizon Collection,32,413,48854,4.2,11.9,S
18,Stylish Denim Casual dress Olive Legacy Collection,19,194,47411,7.7,34.3,XL
19,Geometric Faux Leather Polka dot dress Orange Phoenix Series,14,127,45914,3.7,22.0,XL
20,Stylish  Tankini Purple Infinite Horizon Series,37,433,23525,4.8,14.5,XL
21,Sporty Suede T-shirt Blue Evolve Series,2,215,46887,4.8,20.6,M
22,Casual Denim Long skirt Black Enigma Collection,23,109,43356,8.6,24.5,XS
23,Bohemian Bamboo Sweatpants Red Evolve Series,27,399,18804,2.1,37.5,XS
24,Retro Wood Bra Coral Fusion Line,41,215,12257,2.1,49.8,S
25,Modern Mesh Cardigan Maroon Fusion Line,11,133,42576,4.6,38.0,M
26,Sporty Aluminum Midi dress Olive Nexus Collection,21,220,23238,7.8,37.1,XL
27,Geometric Bamboo Polka dot dress Purple Elysium Line,14,369,18804,5.8,37.8,XL
28,Elegant Cotton T-shirt Pink Zenith Series,2,358,17379,1.7,24.1,M
29,Futuristic Wood Casual dress Red Solstice Series,19,240,15572,8.6,28.4,M
30,Rugged Suede Belt White Essence Series,46,127,43119,9.0,20.1,L
31,Stylish Rubber Jeans Yellow Harmony Series,28,327,48854,1.1,37.2,L
32,Bohemian Denim Plaid dress Teal Essence Series,18,355,18119,5.6,37.3,M
33,Retro Recycled Plastic Polka dot dress Olive Fusion Line,14,433,42576,2.0,30.2,M
34,Modern Denim Sweater Crimson Vitality Series,4,212,49039,5.9,15.6,L
35,Retro Bamboo Vest Green Fusion Line,9,355,18219,4.4,14.2,L
36,Sporty Faux Leather Midi dress Black Elysium Line,21,157,45914,6.8,37.5,XL
37,Vintage  Bikini set Coral Fusion Line,35,220,46887,7.4,12.9,XL
38, Suede Ear muffs  Enigma Collection,52,296,33073,7.8,35.2,M
39,Modern Recycled Plastic One-piece Pink Phoenix Series,36,399,49086,2.3,20.9,XL
40, Denim Plain dress Orange Elysium Line,15,157,46887,3.1,45.3,S
41,Traditional Polyester Lingerie Navy Vitality Series,40,413,15697,1.6,28.9,S
42,Geometric Linen Coat White Infinite Horizon Series,7,157,12257,4.0,36.5,XL
43,Floral Silk Mini dress Pink Infinite Horizon Series,20,404,23350,2.8,20.2,L
44,Floral Recycled Plastic T-shirt Green Elysium Line,2,127,42741,9.8,47.8,XL
45,Stylish Denim Casual dress Purple Vitality Series,19,249,44009,3.0,44.0,L
46,Abstract Suede Leopard print dress Pink Elysium Line,13,429,43954,2.2,12.9,M
47,Stylish Ceramic Hat Maroon Infinite Horizon Series,45,404,49356,3.5,15.1,S
48,Modern Denim Leggings Olive Elysium Line,25,107,46887,1.3,12.8,XL
49,Luxury Rubber Hat Yellow Essence Series,45,198,42741,4.2,28.3,XL
50,Vintage Mesh Cargo pants Olive Evolve Series,29,465,13119,8.8,44.3,L
51,Luxury Stainless Steel Bikini set Crimson Odyssey Series,35,327,49039,4.8,29.5,S
52,Traditional Glass Coat Teal Elysium Line,7,339,14101,7.6,35.0,XL
53,Stylish Faux Leather Midi dress Black Odyssey Series,21,257,16981,9.0,37.5,M
54,Rugged Cotton Bow tie Yellow Enigma Collection,50,126,49635,9.3,24.8,XL
55,Sleek  Gloves Crimson Infinite Horizon Series,48,465,47272,5.5,42.0,M
56,Sleek Bamboo Plaid dress Black Infinite Horizon Series,18,465,24908,5.6,23.8,XS
57,Sporty Aluminum Hat  Fusion Line,45,220,19236,7.8,16.5,XS
58,Casual Linen Lingerie Blue Nexus Collection,40,117,23525,7.2,38.8,XL
59,Futuristic Rubber Casual dress Pink Evolve Series,19,214,47272,5.1,36.8,M
60,Rugged Ceramic Romper Olive Enigma Collection,32,133,16981,1.6,12.8,L
61,Sporty Cotton Cargo pants White Phoenix Series,29,220,43119,1.6,40.1,M
62,Vintage Silk Pajama set Charcoal Enigma Collection,31,376,16353,6.4,25.5,L
63,Casual Faux Leather Sweatpants Lavender Phoenix Series,27,214,38946,2.7,29.4,XL
64,Floral Linen Cargo pants Charcoal Fusion Line,29,465,42741,2.0,42.9,L
65,Luxury  Cardigan Teal Infinite Horizon Series,11,236,47411,5.3,39.3,XS
66,Traditional Wool Swim dress Aqua Elysium Line,38,192,49356,1.9,20.5,S
67,Elegant Wool Socks Gray Nexus Collection,44,469,15109,2.3,24.5,XS
68,Comfortable  Sweater Crimson Harmony Series,4,117,14101,6.8,20.6,S
69, Polyester Leggings Coral Harmony Series,25,413,23350,3.2,14.2,L
70,Sporty Ceramic Hairband Maroon Harmony Series,49,126,19236,2.9,48.2,M
